Buggy Code,Fixed Code,Bug Type,Severity,Frequency,Programming Language
for i in range(10) print(i),for i in range(10): print(i),IndentationError,Critical,96,Python
for i in range(10) print(i),for i in range(10): print(i),LogicalError,Medium,331,Python
console.log('Hello'),console.log('Hello');,SyntaxError,Medium,331,JavaScript
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",SyntaxError,Medium,175,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",NameError,Critical,463,Python
for i in range(10) print(i),for i in range(10): print(i),AttributeError,High,242,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",SyntaxError,Low,317,Python
for i in range(10) print(i),for i in range(10): print(i),IndexError,High,299,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndentationError,Medium,202,C++
console.log('Hello'),console.log('Hello');,SyntaxError,Critical,330,JavaScript
printf('Hello'),printf('Hello');,IndexError,Medium,151,C
console.log('Hello'),console.log('Hello');,NameError,Medium,476,JavaScript
console.log('Hello'),console.log('Hello');,SyntaxError,Critical,150,JavaScript
console.log('Hello'),console.log('Hello');,NameError,Medium,244,JavaScript
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",SyntaxError,Critical,215,C++
printf('Hello'),printf('Hello');,TypeError,Critical,146,C
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndexError,Low,72,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",LogicalError,High,127,C++
for i in range(10) print(i),for i in range(10): print(i),LogicalError,Medium,277,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",SyntaxError,Medium,108,Java
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndentationError,Critical,342,Python
for i in range(10) print(i),for i in range(10): print(i),LogicalError,Low,401,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",NameError,Medium,499,Python
for i in range(10) print(i),for i in range(10): print(i),NameError,High,144,Python
console.log('Hello'),console.log('Hello');,LogicalError,Medium,275,JavaScript
console.log('Hello'),console.log('Hello');,LogicalError,Low,136,JavaScript
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",NameError,Medium,135,Java
console.log('Hello'),console.log('Hello');,LogicalError,High,479,JavaScript
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",IndexError,Critical,465,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",AttributeError,Critical,91,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",AttributeError,High,321,C++
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",AttributeError,Critical,265,C++
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndentationError,Medium,79,C++
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",TypeError,Critical,102,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndexError,Critical,472,C++
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndentationError,Medium,75,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",AttributeError,High,395,C++
for i in range(10) print(i),for i in range(10): print(i),AttributeError,Critical,128,Python
printf('Hello'),printf('Hello');,SyntaxError,High,280,C
console.log('Hello'),console.log('Hello');,IndexError,Low,208,JavaScript
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",TypeError,High,348,Python
for i in range(10) print(i),for i in range(10): print(i),NameError,Low,366,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndentationError,Critical,174,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",SyntaxError,Low,360,Python
printf('Hello'),printf('Hello');,IndexError,Low,89,C
printf('Hello'),printf('Hello');,LogicalError,High,336,C
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",IndexError,High,440,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",AttributeError,Medium,347,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",NameError,Low,475,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",LogicalError,High,196,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",LogicalError,High,353,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",SyntaxError,Medium,140,Python
console.log('Hello'),console.log('Hello');,LogicalError,Medium,229,JavaScript
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndexError,Low,258,C++
console.log('Hello'),console.log('Hello');,LogicalError,Low,395,JavaScript
for i in range(10) print(i),for i in range(10): print(i),IndentationError,Medium,311,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndexError,Critical,94,Python
printf('Hello'),printf('Hello');,TypeError,High,481,C
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",SyntaxError,Medium,495,Python
console.log('Hello'),console.log('Hello');,IndexError,Medium,340,JavaScript
for i in range(10) print(i),for i in range(10): print(i),SyntaxError,Critical,299,Python
console.log('Hello'),console.log('Hello');,SyntaxError,High,217,JavaScript
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",LogicalError,High,148,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",SyntaxError,High,482,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",TypeError,High,153,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",LogicalError,Medium,251,Python
for i in range(10) print(i),for i in range(10): print(i),IndexError,High,50,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",TypeError,High,171,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",NameError,Critical,229,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",LogicalError,High,405,Java
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",AttributeError,High,154,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",LogicalError,Low,203,Java
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",AttributeError,Low,229,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndexError,Medium,340,Java
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndexError,Critical,284,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",NameError,High,337,C++
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",TypeError,Low,481,C++
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",NameError,Medium,119,C++
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndentationError,Medium,88,Java
for i in range(10) print(i),for i in range(10): print(i),NameError,Critical,137,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndentationError,Low,425,Java
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",LogicalError,Low,98,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",NameError,High,319,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndexError,Critical,60,Python
printf('Hello'),printf('Hello');,IndentationError,Low,67,C
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",SyntaxError,Low,108,C++
for i in range(10) print(i),for i in range(10): print(i),LogicalError,High,300,Python
printf('Hello'),printf('Hello');,LogicalError,Low,436,C
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndexError,Critical,366,Python
printf('Hello'),printf('Hello');,IndentationError,Low,293,C
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndexError,Medium,369,C++
console.log('Hello'),console.log('Hello');,IndexError,Critical,420,JavaScript
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",IndentationError,Critical,289,Python
for i in range(10) print(i),for i in range(10): print(i),LogicalError,Medium,355,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",SyntaxError,High,69,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",TypeError,High,269,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndexError,Low,489,C++
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",TypeError,Medium,158,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",LogicalError,Critical,241,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",AttributeError,High,182,Python
printf('Hello'),printf('Hello');,NameError,High,426,C
console.log('Hello'),console.log('Hello');,LogicalError,Low,195,JavaScript
printf('Hello'),printf('Hello');,SyntaxError,High,449,C
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",SyntaxError,Low,239,C++
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",LogicalError,Low,493,Python
for i in range(10) print(i),for i in range(10): print(i),SyntaxError,Medium,415,Python
console.log('Hello'),console.log('Hello');,NameError,High,204,JavaScript
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndexError,Critical,306,Python
printf('Hello'),printf('Hello');,IndentationError,Medium,190,C
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndentationError,Low,372,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",AttributeError,High,71,Python
printf('Hello'),printf('Hello');,IndentationError,High,236,C
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndentationError,Low,54,Python
for i in range(10) print(i),for i in range(10): print(i),SyntaxError,Medium,320,Python
console.log('Hello'),console.log('Hello');,AttributeError,High,129,JavaScript
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",LogicalError,Critical,361,Java
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",IndexError,Critical,197,Python
for i in range(10) print(i),for i in range(10): print(i),IndentationError,High,124,Python
for i in range(10) print(i),for i in range(10): print(i),SyntaxError,Low,102,Python
console.log('Hello'),console.log('Hello');,NameError,Medium,417,JavaScript
for i in range(10) print(i),for i in range(10): print(i),IndentationError,Critical,228,Python
printf('Hello'),printf('Hello');,LogicalError,High,392,C
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",NameError,High,269,C++
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",AttributeError,Critical,480,C++
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndentationError,Critical,338,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",LogicalError,High,411,Java
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",AttributeError,High,361,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",SyntaxError,Medium,447,Java
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",SyntaxError,Medium,461,Python
console.log('Hello'),console.log('Hello');,TypeError,High,386,JavaScript
console.log('Hello'),console.log('Hello');,LogicalError,High,419,JavaScript
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",LogicalError,Medium,324,Python
printf('Hello'),printf('Hello');,NameError,High,480,C
console.log('Hello'),console.log('Hello');,LogicalError,High,288,JavaScript
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",TypeError,Low,108,Python
printf('Hello'),printf('Hello');,IndentationError,High,222,C
console.log('Hello'),console.log('Hello');,LogicalError,Medium,371,JavaScript
printf('Hello'),printf('Hello');,IndexError,Medium,223,C
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",IndentationError,Low,500,Python
printf('Hello'),printf('Hello');,TypeError,Medium,72,C
printf('Hello'),printf('Hello');,AttributeError,Medium,232,C
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndexError,Medium,188,Python
printf('Hello'),printf('Hello');,LogicalError,Medium,404,C
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",SyntaxError,High,449,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndentationError,Critical,241,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",SyntaxError,Low,89,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndentationError,Medium,168,Java
for i in range(10) print(i),for i in range(10): print(i),SyntaxError,High,398,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",TypeError,Medium,134,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",SyntaxError,Medium,485,C++
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",LogicalError,Critical,102,C++
for i in range(10) print(i),for i in range(10): print(i),IndentationError,High,308,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndexError,Medium,451,Python
console.log('Hello'),console.log('Hello');,LogicalError,Critical,104,JavaScript
for i in range(10) print(i),for i in range(10): print(i),NameError,High,451,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndentationError,Critical,53,Java
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",LogicalError,Low,95,Java
console.log('Hello'),console.log('Hello');,IndentationError,Critical,495,JavaScript
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndentationError,Low,58,Python
printf('Hello'),printf('Hello');,AttributeError,Critical,208,C
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",TypeError,High,198,Python
printf('Hello'),printf('Hello');,SyntaxError,Critical,119,C
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndentationError,Medium,303,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",NameError,Low,204,Python
for i in range(10) print(i),for i in range(10): print(i),IndexError,Low,147,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",LogicalError,High,304,Java
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",TypeError,High,207,C++
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndexError,Medium,469,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",SyntaxError,Low,305,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndentationError,Low,71,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",SyntaxError,Low,325,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndentationError,Low,271,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",NameError,Low,350,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",LogicalError,Critical,330,Python
console.log('Hello'),console.log('Hello');,LogicalError,High,305,JavaScript
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",SyntaxError,Critical,480,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndentationError,Medium,197,Java
printf('Hello'),printf('Hello');,SyntaxError,Medium,318,C
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",LogicalError,Low,341,Python
for i in range(10) print(i),for i in range(10): print(i),SyntaxError,High,267,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",SyntaxError,Critical,116,C++
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",TypeError,Low,344,Python
for i in range(10) print(i),for i in range(10): print(i),IndexError,Critical,293,Python
printf('Hello'),printf('Hello');,AttributeError,Low,279,C
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",AttributeError,High,121,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",TypeError,High,190,Java
for i in range(10) print(i),for i in range(10): print(i),SyntaxError,Medium,186,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",LogicalError,High,493,Java
for i in range(10) print(i),for i in range(10): print(i),TypeError,High,108,Python
printf('Hello'),printf('Hello');,AttributeError,Critical,305,C
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndentationError,High,136,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",AttributeError,Low,191,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndentationError,Low,317,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",AttributeError,High,398,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",NameError,Medium,163,Java
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",SyntaxError,Medium,98,C++
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndexError,Medium,473,Java
printf('Hello'),printf('Hello');,NameError,Medium,232,C
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndentationError,Low,466,C++
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndentationError,High,419,C++
printf('Hello'),printf('Hello');,SyntaxError,Low,395,C
printf('Hello'),printf('Hello');,SyntaxError,High,497,C
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndentationError,Low,129,Java
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",NameError,High,348,Python
printf('Hello'),printf('Hello');,AttributeError,Critical,50,C
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndentationError,Low,460,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",IndexError,Critical,363,Python
for i in range(10) print(i),for i in range(10): print(i),AttributeError,Critical,241,Python
console.log('Hello'),console.log('Hello');,LogicalError,Low,335,JavaScript
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",LogicalError,Low,279,C++
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",AttributeError,Medium,270,Python
console.log('Hello'),console.log('Hello');,IndexError,Medium,435,JavaScript
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",LogicalError,Medium,127,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndexError,Low,110,Java
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",LogicalError,Medium,360,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",NameError,Critical,292,C++
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndexError,Low,490,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",TypeError,Medium,387,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",LogicalError,High,451,Java
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",NameError,Critical,230,Python
for i in range(10) print(i),for i in range(10): print(i),AttributeError,Medium,433,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",TypeError,Critical,400,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndentationError,High,454,C++
console.log('Hello'),console.log('Hello');,IndexError,Medium,244,JavaScript
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",NameError,Medium,270,Python
console.log('Hello'),console.log('Hello');,LogicalError,Critical,266,JavaScript
for i in range(10) print(i),for i in range(10): print(i),IndexError,Low,348,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",AttributeError,Medium,453,C++
for i in range(10) print(i),for i in range(10): print(i),IndexError,High,296,Python
for i in range(10) print(i),for i in range(10): print(i),NameError,Medium,260,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",NameError,High,474,C++
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",TypeError,Critical,221,C++
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndentationError,Medium,339,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",SyntaxError,Critical,180,C++
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",NameError,Low,211,Python
printf('Hello'),printf('Hello');,IndentationError,High,305,C
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",TypeError,Critical,284,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",LogicalError,Medium,260,Python
console.log('Hello'),console.log('Hello');,IndexError,Low,426,JavaScript
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndentationError,Medium,164,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndexError,Medium,326,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",AttributeError,High,253,C++
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",AttributeError,Low,142,Java
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",TypeError,High,143,Python
for i in range(10) print(i),for i in range(10): print(i),IndentationError,Low,178,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",LogicalError,Low,146,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndentationError,High,93,Python
for i in range(10) print(i),for i in range(10): print(i),NameError,Low,476,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndexError,High,292,Java
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",AttributeError,Critical,464,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",TypeError,Low,448,Java
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",SyntaxError,Medium,443,C++
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndentationError,Low,190,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",LogicalError,Low,91,Java
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",LogicalError,Critical,55,Java
for i in range(10) print(i),for i in range(10): print(i),LogicalError,Low,82,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndexError,Low,112,Java
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",NameError,Medium,143,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",LogicalError,High,340,C++
for i in range(10) print(i),for i in range(10): print(i),IndexError,Critical,316,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",SyntaxError,Low,415,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndentationError,Critical,253,C++
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",SyntaxError,Low,126,Python
console.log('Hello'),console.log('Hello');,LogicalError,Critical,157,JavaScript
printf('Hello'),printf('Hello');,AttributeError,Medium,449,C
printf('Hello'),printf('Hello');,AttributeError,Medium,68,C
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",NameError,Low,360,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",TypeError,Medium,59,Python
for i in range(10) print(i),for i in range(10): print(i),NameError,Critical,328,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",NameError,Low,212,C++
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",SyntaxError,Critical,343,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",AttributeError,High,269,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndentationError,High,182,C++
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndexError,Low,72,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",AttributeError,High,243,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",AttributeError,Critical,254,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",AttributeError,Critical,125,Java
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndexError,Medium,125,C++
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",LogicalError,Critical,70,C++
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",LogicalError,Medium,372,Python
console.log('Hello'),console.log('Hello');,NameError,Critical,51,JavaScript
console.log('Hello'),console.log('Hello');,NameError,High,155,JavaScript
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",NameError,Medium,254,Java
for i in range(10) print(i),for i in range(10): print(i),AttributeError,Critical,404,Python
printf('Hello'),printf('Hello');,AttributeError,Critical,439,C
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",LogicalError,Low,299,Python
for i in range(10) print(i),for i in range(10): print(i),TypeError,Low,53,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",NameError,Medium,488,Python
console.log('Hello'),console.log('Hello');,SyntaxError,Critical,470,JavaScript
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",TypeError,Medium,63,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",TypeError,Critical,264,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndexError,Medium,150,Java
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndexError,Low,115,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",AttributeError,High,284,Python
printf('Hello'),printf('Hello');,TypeError,Medium,112,C
